0.1,1,100,20,18
1,1,100,20,18
2,1,100,20,18
3,1,100,20,18
4,1,100,20,18
5,1,100,20,18
6,1,100,20,18
7,1,100,20,18
8,1,100,20,18
9,1,100,20,18
10,1,100,20,18
11,1,100,20,18
12,1,100,20,18
13,1,100,20,18
14,1,100,20,18
15,1,100,20,18
4,0.1,100,20,18
4,0.2,100,20,18
4,0.3,100,20,18
4,0.4,100,20,18
4,0.5,100,20,18
4,0.6,100,20,18
4,0.7,100,20,18
4,0.8,100,20,18
4,0.9,100,20,18
4,1,100,20,18
4,1.1,100,20,18
4,1.2,100,20,18
4,1.3,100,20,18
4,1.4,100,20,18
4,1.5,100,20,18
4,1,0.1,20,18
4,1,20,20,18
4,1,40,20,18
4,1,60,20,18
4,0,100,20,18
4,1,120,20,18
4,1,140,20,18
4,1,160,20,18
4,1,180,20,18
4,1,200,20,18
4,1,100,10,18
4,1,100,12,18
4,1,100,14,18
4,1,100,16,18
4,1,100,18,18
4,1,100,20,18
4,1,100,22,18
4,1,100,24,18
4,1,100,26,18
4,1,100,28,18
4,1,100,30,18
4,1,100,20,18
4,1,100,20,22
4,1,100,20,26
4,1,100,20,32
